t,x,y,z,yaw
9.7040,0.099429,-0.394653,1.167854,-28.4790
9.7190,0.103584,-0.398176,1.169383,-28.3454
9.7500,0.107684,-0.401990,1.170970,-28.3249
9.7660,0.111923,-0.405722,1.172044,-28.3917
9.7820,0.116195,-0.409436,1.172998,-28.4108
9.7970,0.121240,-0.413604,1.174290,-28.3429
9.8290,0.125370,-0.417012,1.175439,-28.3336
9.8440,0.129613,-0.420705,1.176535,-28.4985
9.8600,0.133830,-0.424367,1.177421,-28.6632
9.8910,0.137839,-0.427586,1.178092,-28.5369
9.9070,0.141699,-0.430707,1.178635,-28.3042
9.9220,0.145491,-0.433961,1.179265,-28.2107
9.9540,0.149289,-0.437331,1.179898,-28.2211
9.9690,0.153128,-0.440737,1.180530,-28.1730
9.9850,0.156905,-0.443914,1.181060,-28.0755
